# clang-refold layer manifest.
#
# One line per C/C++ file under clang-tools-extra/clang-refold:
#
#   <path relative to the tool root>  <layer>  [# note]
#
# Layers, lowest first: support, model, carriers, analysis, proof, planning,
# emission, core, tool.  A file may include files in its own layer or any lower
# layer.  docs/Architecture.md defines each layer; utils/check_refold_layers.py
# enforces this file, and a .cpp must share its header's layer.
#
# Assignments were made by reading each file's purpose, types and consumers,
# not by directory.  When a file is added, split or moved, update this file in
# the same commit.  A note records why a non-obvious assignment was chosen.

# support: domain-free utilities.  No clang-refold domain types.
support/StringUtils.h                                           support
support/StringUtils.cpp                                         support
support/RefoldDenseMapInfo.h                                    support
support/RefoldPathCanonicalization.h                            support
support/RefoldPathCanonicalization.cpp                          support
support/RefoldLog.h                                             support
support/RefoldLog.cpp                                           support
support/RefoldFormatProviders.h                                 support
support/RefoldLangOptions.h                                     support
support/RefoldLangOptions.cpp                                   support

# model: the producer refold map, the A/B token carrier, path identity.
model/RefoldModel.h                                           model
model/RefoldModel.cpp                                         model
model/RefoldSchema.h                                          model
model/RefoldToken.h                                         model
model/RefoldToken.cpp                                       model
model/RefoldPathIdentity.h                                    model
model/RefoldPathIdentity.cpp                                  model

# carriers: value types and pure operations on them; no services.
edit/RefoldEditTypes.h                                       carriers
edit/RefoldPatchTypes.h                                      carriers
line-control/FinalLineControlModel.h                         carriers  # carrier types plus the pure fixed-point pruner over them; its executable oracle is injected
line-control/FinalLineControlModel.cpp                       carriers
line-control/LineControlEditHelpers.h                        carriers
proof/RefoldAcceptancePathTypes.h                            carriers
proof/RefoldAcceptedResultPredicates.h                       carriers
proof/RefoldAnchorWitnessTypes.h                             carriers
proof/RefoldCandidateTypes.h                                 carriers
proof/RefoldCompletenessTypes.h                              carriers
proof/RefoldMacroPatchTypes.h                                carriers
proof/RefoldOwnerStateTypes.h                                carriers
proof/RefoldProofDischargeTypes.h                            carriers
proof/RefoldProofVocabulary.h                                carriers
proof/RefoldSidebandReplayProof.h                            carriers  # carrier records plus pure replay-envelope functions of them
proof/RefoldSidebandReplayProof.cpp                          carriers
proof/RefoldTheoremTypes.h                                   carriers
proof/RefoldTilingWitnessTypes.h                             carriers
source/RefoldAlignmentSemanticEvidence.h                     carriers
source/RefoldDiffTypes.h                                     carriers
source/RefoldPreprocessingStructureKinds.h                   carriers

# analysis: derived facts over the model and the A/B streams.
source/RefoldPreprocessRecheck.h                               analysis
source/RefoldPreprocessRecheck.cpp                             analysis
edit/RefoldSourceEnvelopeTiling.h                            analysis
include/IncludeSpellingHelpers.h                             analysis
line-control/LineDirectiveInserter.h                         analysis
line-control/LineDirectiveInserter.cpp                       analysis
line-control/RefoldLineControlFilename.h                     analysis
line-control/RefoldLineControlFilename.cpp                   analysis
line-control/SourceLineDirectiveHelpers.h                    analysis
line-control/RefoldLineControlRewrite.cpp                    analysis  # implements SourceLineDirectiveHelpers.h
macro/RefoldArgTextRecovery.h                                analysis
macro/RefoldArgTextRecovery.cpp                              analysis
macro/RefoldMacroOccurrenceProofValidator.h                  analysis  # descendant-depth and subtree-membership queries over the invocation graph
macro/RefoldMacroOccurrenceProofValidator.cpp                analysis
macro/RefoldMacroPlannerHelpers.h                            analysis  # model-query and lexical helpers shared by planners and proofs, despite the name
macro/RefoldMacroReplay.h                                    analysis
macro/RefoldMacroReplay.cpp                                  analysis
macro/RefoldMacroTopology.h                                  analysis
macro/RefoldMacroTopology.cpp                                analysis
macro/RefoldMacroTupleHelpers.h                              analysis
macro/RefoldMacroTupleHelpers.cpp                            analysis
proof/RefoldPragmaTaxonomy.h                                 analysis  # classification of pragma spellings; consumed below proof
proof/RefoldPragmaTaxonomy.cpp                               analysis
source/DiffAlgorithms.h                                      analysis
source/DiffAlgorithms.cpp                                    analysis
source/RefoldAlignmentDiagnostic.h                           analysis
source/RefoldAlignmentDiagnostic.cpp                         analysis
source/RefoldAlignmentSemanticResolver.h                     analysis
source/RefoldAlignmentSemanticResolver.cpp                   analysis
source/RefoldLegacyAlignmentDiagnostic.h                     analysis
source/RefoldLegacyAlignmentDiagnostic.cpp                   analysis
source/RefoldPreprocessingDirectiveScanner.h                 analysis
source/RefoldPreprocessingDirectiveScanner.cpp               analysis
source/RefoldPreprocessingStructureIndex.h                   analysis
source/RefoldPreprocessingStructureIndex.cpp                 analysis
source/RefoldPreprocessingStructureIndexProvider.h           analysis
source/RefoldPreprocessingStructureIndexProvider.cpp         analysis
source/RefoldSourceMapper.h                                  analysis
source/RefoldSourceMapper.cpp                                analysis
source/RefoldTokenDiffPlanner.h                              analysis  # A/B token alignment, despite the name
source/RefoldTokenDiffPlanner.cpp                            analysis
source/RefoldTokenTextAnalysis.h                             analysis
source/RefoldTokenTextAnalysis.cpp                           analysis
source/RefoldTokenlessSourceProjection.h                     analysis
source/RefoldTokenlessSourceProjection.cpp                   analysis
source/TokenTextHelpers.h                                    analysis

# proof: services that decide whether an obligation is discharged.
edit/RefoldTUAnchorProof.h                                   proof  # TU insertion-anchor and TU byte-span proofs
edit/RefoldTUAnchorProof.cpp                                 proof
edit/RefoldTextEditCertifier.h                               proof  # protected-source capabilities, the global firewall, materialized-range certification
edit/RefoldTextEditCertifier.cpp                             proof
source/RefoldOwnerClassifier.h                               proof  # classifies owners through TU-anchor proofs, which audit as they run
source/RefoldOwnerClassifier.cpp                             proof
include/RefoldIncludeReplayProof.h                           proof
include/RefoldIncludeReplayProof.cpp                         proof
line-control/RefoldLineControlProof.h                        proof
line-control/RefoldLineControlProof.cpp                      proof
macro/RefoldMacroPatchProofCertifier.h                       proof
macro/RefoldMacroPatchProofCertifier.cpp                     proof
macro/RefoldMacroReplayStabilityValidator.h                  proof
